Accession Number,Genus,Species,Strain,Location,Cryo Pvalue,Inoc Date,n Tubes Frozen,Date Frozen,Label
1061,Flammulina,velutipes,IV - #58/1423,F8,7,12/5/2018,10,1/10/2019,NA
1065,Fomes,fomentarius,I,F8,6,12/17/2018,10,1/10/2019,NA
1348,Tropicoporus,linteus,I,F8,3,1/2/2019,10,1/16/2019,NA
1174,Ganoderma,lucidum,7400,F8,20,2/14/2019,10,2/25/2019,NA
1176,Ganoderma,lucidum,62451,F8,18,2/14/2019,10,2/26/2019,NA
1401,Pleurotus,ostreatus,PWOST,F8,15,2/14/2019,10,2/26/2019,NA
1290,Lentinula,edodes,705 Solstice,F7,18,3/5/2019,10,3/18/2019,NA
1224,Hericium,erinaceus,II,F7,15,3/5/2019,10,3/19/2019,NA
1293,Lentinula,edodes,CS master,F7,6,3/5/2019,10,3/19/2019,NA
1044,Cordyceps,militaris,I,F7,6,3/28/2019,10,4/15/2019,NA
1459,Trametes,versicolor,I - Kamilche,F7,9,3/28/2019,10,4/15/2019,NA
1198,Grifola,frondosa,158772,F8,8,3/28/2019,10,4/16/2019,NA
1008,Agaricus,brasiliensis,Hunan,F8,4,3/28/2019,10,4/17/2019,Ab Hunan P4 3-28-19
1169,Ganoderma,applanatum,II- Duckabush,F8,4,5/8/2019,10,5/23/2019,NA
1190,Ganoderma,oregonense,II - Meadow Lake,F8,12,5/8/2019,10,5/23/2019,Go MLK P12 5-8-19
1409,Pleurotus,pulmonarius,I,F8,3,5/15/2019,10,5/23/2019,NA
1354,Pholiota,nameko,I,F8,15,5/15/2019,10,5/28/2019,NA
1221,Hericium,coralloides,HE/MD I,F7,12,5/15/2019,10,5/29/2019,NA
1365,Fomitopsis,betulina,NY St. Regis,F7,3,5/15/2019,10,5/29/2019,NA
1373,Pleurotus,eryngii,I,F7,3,6/20/2019,10,7/2/2019,NA
1446,Stropharia,rugosoannulata,Franklin wine cap #8621,F7,3,6/25/2019,10,7/8/2019,NA
1013,Agaricus,brunnescens,Portobello,F6,3,6/25/2019,9,7/9/2019,NA
1294,Lentinula,edodes,CW krcm 221,F7,15,7/25/2019,9,8/12/2019,NA
1114,Laricifomes,officinalis,VI (6)- Cortes Carrington,F6,2,7/25/2019,9,8/13/2019,NA
1312,Lentinula,edodes,WW krcm 324,F7,16,7/25/2019,9,8/15/2019,NA
1012,Agaricus,brunnescens,I SA,F6,5,8/30/2019,9,9/11/2019,NA
1060,Flammulina,velutipes,III-1412 (white),F6,8,8/30/2019,9,9/11/2019,NA
1238,Hypholoma,capnoides,Elwha,F5,2,8/30/2019,9,9/24/2019,NA
1407,Pleurotus,columbinus,OST2,F5,14,9/24/2019,9,10/7/2019,NA
1268,Inonotus,obliquus,I,F5,15,9/24/2019,9,10/15/2019,NA
1252,Hypsizygus,tessulatus,#25000,F5,3,10/23/2019,9,11/11/2019,NA
1265,Hypsizygus,ulmarius,UT #8207,F6,8,10/23/2019,9,11/11/2019,NA
1437,Sparassis,crispa,I - B. Hotspring,F5,19,10/23/2019,9,11/18/2019,NA
1017,Cyclocybe,aegerita,I,F6,13,10/28/2019,9,11/25/2019,NA
1230,Hericium,erinaceus,VI- Olympia,F5,3,11/2/2019,9,1/2/2020,NA
1435,Schizophyllum,commune,I,F6,6,11/13/2019,9,11/25/2019,NA
1339,Morchella,sp,M29,F6,3,11/27/2019,9,12/6/2019,NA
1227,Hericium,erinaceus,IX- Maddocks,F6,3,11/27/2019,9,12/11/2019,NA
1226,Hericium,erinaceus,IV- NY Ave DC,F4,3,11/27/2019,9,12/12/2019,NA
