Accession Number,Genus,Species,Strain,Location,Pvalue,Inoc Date,Date Frozen,Date Thawed,n Tubes Thawed,n Plates,Viable
1061,Flammulina,velutipes,IV - #58/1423,F8,7,12/5/2018,1/10/2019,1/11/2019,2,6,6
1061,Flammulina,velutipes,IV - #58/1423,F8,7,12/5/2018,1/10/2019,7/10/2019,2,6,6
1065,Fomes,fomentarius,I,F8,6,12/17/2018,1/10/2019,1/11/2019,2,6,6
1065,Fomes,fomentarius,I,F8,6,12/17/2018,1/10/2019,7/10/2019,2,6,6
1065,Fomes,fomentarius,I,F8,6,12/17/2018,1/10/2019,5/12/2021,6,2,2
1348,Tropicoporus,linteus,I,F8,3,1/2/2019,1/16/2019,1/17/2019,2,6,6
1348,Tropicoporus,linteus,I,F8,3,1/2/2019,1/16/2019,7/16/2019,2,6,6
1174,Ganoderma,lucidum,7400,F8,20,2/14/2019,2/25/2019,2/26/2019,2,6,6
1174,Ganoderma,lucidum,7400,F8,20,2/14/2019,2/25/2019,8/25/2019,2,6,6
1176,Ganoderma,lucidum,62451,F8,18,2/14/2019,2/26/2019,2/27/2019,2,6,6
1176,Ganoderma,lucidum,62451,F8,18,2/14/2019,2/26/2019,8/26/2019,2,6,6
1401,Pleurotus,ostreatus,PWOST,F8,15,2/14/2019,2/26/2019,2/27/2019,2,6,6
1401,Pleurotus,ostreatus,PWOST,F8,15,2/14/2019,2/26/2019,8/26/2019,2,6,6
1174,Ganoderma,lucidum,7400,F8,20,2/14/2019,2/25/2019,3/1/2021,1,6,6
1174,Ganoderma,lucidum,7400,F8,20,2/14/2019,2/25/2019,4/23/2021,1,3,3
1401,Pleurotus,ostreatus,PWOST,F8,15,2/14/2019,2/26/2019,4/23/2021,1,3,3
1176,Ganoderma,lucidum,62451,F8,18,2/14/2019,2/26/2019,4/30/2021,6,3,3
1401,Pleurotus,ostreatus,PWOST,F8,15,2/14/2019,2/26/2019,4/30/2021,5,3,3
1174,Ganoderma,lucidum,7400,F8,20,2/14/2019,2/25/2019,5/12/2021,4,2,2
1224,Hericium,erinaceus,II,F7,15,3/5/2019,3/19/2019,3/20/2019,2,6,6
1224,Hericium,erinaceus,II,F7,15,3/5/2019,3/19/2019,9/19/2019,2,6,6
1293,Lentinula,edodes,CS master,F7,6,3/5/2019,3/19/2019,3/20/2019,2,6,6
1293,Lentinula,edodes,CS master,F7,6,3/5/2019,3/19/2019,9/19/2019,2,6,5
1290,Lentinula,edodes,705 Solstice,F7,18,3/5/2019,3/18/2019,3/19/2019,2,6,6
1290,Lentinula,edodes,705 Solstice,F7,18,3/5/2019,3/18/2019,9/18/2019,2,6,6
1290,Lentinula,edodes,705 Solstice,F7,18,3/5/2019,3/18/2019,4/23/2021,1,3,3
1293,Lentinula,edodes,CS master,F7,6,3/5/2019,3/19/2019,5/12/2021,6,2,2
1459,Trametes,versicolor,I - Kamilche,F7,9,3/28/2019,4/15/2019,4/16/2019,2,6,6
1459,Trametes,versicolor,I - Kamilche,F7,9,3/28/2019,4/15/2019,10/15/2019,2,6,6
1044,Cordyceps,militaris,I,F7,6,3/28/2019,4/15/2019,4/16/2019,2,6,6
1044,Cordyceps,militaris,I,F7,6,3/28/2019,4/15/2019,10/15/2019,2,6,6
1198,Grifola,frondosa,158772,F8,8,3/28/2019,4/16/2019,4/17/2019,2,6,6
1198,Grifola,frondosa,158772,F8,8,3/28/2019,4/16/2019,10/16/2019,2,6,6
1008,Agaricus,brasiliensis,Hunan,F8,4,3/28/2019,4/17/2019,4/18/2019,2,6,6
1008,Agaricus,brasiliensis,Hunan,F8,4,3/28/2019,4/17/2019,10/17/2019,2,6,6
1198,Grifola,frondosa,158772,F8,8,3/28/2019,4/16/2019,4/23/2021,1,3,3
1459,Trametes,versicolor,I - Kamilche,F7,9,3/28/2019,4/15/2019,4/23/2021,1,3,3
1198,Grifola,frondosa,158772,F8,8,3/28/2019,4/16/2019,5/12/2021,5,2,NA
1459,Trametes,versicolor,I - Kamilche,F7,9,3/28/2019,4/15/2019,12/9/2021,1,4,4
1044,Cordyceps,militaris,I,F7,6,3/28/2019,4/15/2019,1/14/2022,1,3,3
1008,Agaricus,brasiliensis,Hunan,F8,4,3/28/2019,4/17/2019,6/29/2022,1,4,4
1008,Agaricus,brasiliensis,Hunan,F8,4,3/28/2019,4/17/2019,9/30/2022,1,6,6
1169,Ganoderma,applanatum,II- Duckabush,F8,4,5/8/2019,5/23/2019,5/24/2019,2,6,6
1169,Ganoderma,applanatum,II- Duckabush,F8,4,5/8/2019,5/23/2019,11/23/2019,2,6,6
1190,Ganoderma,oregonense,II - Meadow Lake,F8,12,5/8/2019,5/23/2019,5/24/2019,2,6,6
1190,Ganoderma,oregonense,II - Meadow Lake,F8,12,5/8/2019,5/23/2019,11/23/2019,2,6,6
1169,Ganoderma,applanatum,II- Duckabush,F8,4,5/8/2019,5/23/2019,4/23/2021,1,3,3
1169,Ganoderma,applanatum,II- Duckabush,F8,4,5/8/2019,5/23/2019,5/12/2021,5,2,2
1190,Ganoderma,oregonense,II - Meadow Lake,F8,12,5/8/2019,5/23/2019,6/29/2022,1,4,4
1409,Pleurotus,pulmonarius,I,F8,3,5/15/2019,5/23/2019,5/24/2019,2,6,6
1409,Pleurotus,pulmonarius,I,F8,3,5/15/2019,5/23/2019,11/23/2019,2,6,6
1221,Hericium,coralloides,HE/MD I,F7,12,5/15/2019,5/29/2019,5/30/2019,2,6,6
1221,Hericium,coralloides,HE/MD I,F7,12,5/15/2019,5/29/2019,11/29/2019,2,6,6
1365,Fomitopsis,betulina,NY St. Regis,F7,3,5/15/2019,5/29/2019,5/30/2019,2,6,6
1365,Fomitopsis,betulina,NY St. Regis,F7,3,5/15/2019,5/29/2019,11/29/2019,2,6,6
1354,Pholiota,nameko,I,F8,15,5/15/2019,5/28/2019,5/29/2019,2,6,6
1354,Pholiota,nameko,I,F8,15,5/15/2019,5/28/2019,11/28/2019,2,6,6
1221,Hericium,coralloides,HE/MD I,F7,12,5/15/2019,5/29/2019,3/1/2021,2,8,8
1409,Pleurotus,pulmonarius,I,F8,3,5/15/2019,5/23/2019,4/23/2021,1,3,3
1365,Fomitopsis,betulina,NY St. Regis,F7,3,5/15/2019,5/29/2019,5/12/2021,6,2,2
1221,Hericium,coralloides,HE/MD I,F7,12,5/15/2019,5/29/2019,11/1/2021,1,4,4
1373,Pleurotus,eryngii,I,F7,3,6/20/2019,7/2/2019,7/3/2019,2,6,6
1446,Stropharia,rugosoannulata,Franklin wine cap #8621,F7,3,6/25/2019,7/8/2019,7/9/2019,2,6,6
1013,Agaricus,brunnescens,Portobello,F6,3,6/25/2019,7/9/2019,7/10/2019,2,6,6
1446,Stropharia,rugosoannulata,Franklin wine cap #8621,F7,3,6/25/2019,7/8/2019,4/23/2021,1,3,3
1294,Lentinula,edodes,CW krcm 221,F7,15,7/25/2019,8/12/2019,8/13/2019,2,6,6
1114,Fomitopsis,officinalis,VI (6)- Cortes Carrington,F6,2,7/25/2019,8/13/2019,8/14/2019,2,6,6
1312,Lentinula,edodes,WW krcm 324,F7,16,7/25/2019,8/15/2019,8/16/2019,2,6,5
1012,Agaricus,brunnescens,I SA,F6,5,8/30/2019,9/11/2019,9/12/2019,2,6,6
1238,Hypholoma,capnoides,Elwha,F5,2,8/30/2019,9/24/2019,9/25/2019,2,6,6
1060,Flammulina,velutipes,III-1412 (white),F6,8,8/30/2019,9/11/2019,9/12/2019,2,6,6
1060,Flammulina,velutipes,III-1412 (white),F6,8,8/30/2019,9/11/2019,4/23/2021,1,3,3
1238,Hypholoma,capnoides,Elwha,F5,2,8/30/2019,9/23/2019,4/23/2021,1,3,3
1407,Pleurotus,columbinus,OST2,F5,14,9/24/2019,10/7/2019,10/8/2019,2,6,6
1268,Inonotus,obliquus,I,F5,15,9/24/2019,10/15/2019,10/16/2019,2,6,6
1268,Inonotus,obliquus,I,F5,15,9/24/2019,10/15/2019,2/26/2021,1,6,6
1437,Sparassis,crispa,I - B. Hotspring,F5,19,10/23/2019,11/18/2019,11/19/2019,2,6,6
1252,Hypsizygus,tessulatus,#25000,F5,3,10/23/2019,11/11/2019,11/12/2019,2,6,6
1265,Hypsizygus,ulmarius,UT #8207,F6,8,10/23/2019,11/11/2019,11/12/2019,2,6,6
1017,Cyclocybe,aegerita,I,F6,13,10/28/2019,11/25/2019,11/26/2019,2,6,6
1230,Hericium,erinaceus,VI- Olympia,F5,3,11/2/2019,1/2/2020,1/3/2020,2,6,6
1435,Schizophyllum,commune,I,F6,6,11/13/2019,11/25/2019,11/26/2019,2,6,6
1339,Morchella,sp,M29,F6,3,11/27/2019,12/6/2019,12/7/2019,2,6,6
1039,Coprinus,comatus,K08,F6,3,11/27/2019,12/22/2019,12/23/2019,2,6,6
1229,Hericium,erinaceus,V- White House (WH),F4,3,11/27/2019,12/12/2019,12/13/2019,2,6,6
1227,Hericium,erinaceus,IX- Maddocks,F6,3,11/27/2019,12/11/2019,12/12/2019,2,6,6
1226,Hericium,erinaceus,IV- NY Ave DC,F4,3,11/27/2019,12/12/2019,12/13/2019,2,6,6
1460,Trametes,versicolor,II - Garfield,F4,2,12/6/2019,12/16/2019,12/17/2019,2,6,6
1042,Cordyceps,militaris,Cordyzilla,F5,3,12/10/2019,1/2/2020,1/3/2020,2,6,6
1186,Ganoderma,oregonense,I,F5,11,12/11/2019,1/2/2020,1/3/2020,2,6,6
